ID,Направление,Запрос,Источник запроса,Регион,Тип частотности,Частотность,Период данных,Дата проверки,Намерение,Тип клиента,Предполагаемая страница,Статус,Причина решения,Источник URL,Комментарий
"COR-001","Корпуса электроники","корпус для электроники на заказ","Wordstat seed","Москва и область","Широкая; все устройства","2","03.08.2026-01.09.2026","Коммерческое","B2B","/korpusa-dlya-elektroniki","Включить предварительно","Низкая частотность, но точное намерение и отдельная SERP","https://wordstat.yandex.ru/?region=1&view=table&words=корпус%20для%20электроники%20на%20заказ",""
"COR-002","Корпуса электроники","изготовление корпусов для электроники","Wordstat seed","Москва и область","Широкая; все устройства","8","03.08.2026-01.09.2026","Коммерческое","B2B","/korpusa-dlya-elektroniki","Включить предварительно","Соответствует самостоятельной странице","https://wordstat.yandex.ru/?region=1&view=table&words=изготовление%20корпусов%20для%20электроники",""
"COR-003","Корпуса","пластиковый корпус на заказ","Wordstat seed","Москва и область","Широкая; все устройства","23","03.08.2026-01.09.2026","Коммерческое","B2B/смешанный","/korpusa-dlya-elektroniki","Оставить дополнительным","Яндекс и AIsa показывают смешение 3D-печати, металла, готовых корпусов и агрегаторов","https://wordstat.yandex.ru/?region=1&view=table&words=пластиковый%20корпус%20на%20заказ","Не делать главным запросом страницы"
"COR-004","Корпуса","изготовление пластиковых корпусов на заказ","Wordstat вложенная фраза","Москва и область","Широкая; все устройства","10","03.08.2026-01.09.2026","Коммерческое","B2B/смешанный","/korpusa-dlya-elektroniki","Проверить","Возможен самостоятельный корпусный кластер, но требуется SERP","https://wordstat.yandex.ru/?region=1&view=table&words=пластиковый%20корпус%20на%20заказ",""
"COR-005","Корпуса","печать корпуса на 3д принтере","Wordstat seed","Москва и область","Широкая; все устройства","12","03.08.2026-01.09.2026","Информационно-коммерческое","Смешанный","/korpusa-dlya-elektroniki","Проверить","Может быть DIY-информационным; нужен SERP","https://wordstat.yandex.ru/?region=1&view=table&words=печать%20корпуса%20на%203д%20принтере",""
"COR-006","Корпуса электроники","3д печать корпусов для электроники","Wordstat seed","Москва и область","Широкая; все устройства","0","03.08.2026-03.09.2026","Коммерческое","B2B","/korpusa-dlya-elektroniki","Сохранить ноль","Подтверждённый ноль; не отменяет соседние запросы","https://wordstat.yandex.ru/?region=1&view=table&words=3д%20печать%20корпусов%20для%20электроники",""
"OSN-001","Оснастка","производственная оснастка на заказ","Wordstat seed","Москва и область","Широкая; все устройства","0","03.08.2026-03.09.2026","Коммерческое","B2B","/osnastka-i-konduktory","Сохранить ноль","Проверить соседние формулировки и операции","https://wordstat.yandex.ru/?region=1&view=table&words=производственная%20оснастка%20на%20заказ",""
"OSN-002","Оснастка","3д печать оснастки","Wordstat seed","Москва и область","Широкая; все устройства","4","03.08.2026-01.09.2026","Смешанное","B2B/информационный","/osnastka-i-konduktory","Проверить","Низкий спрос; уточнить по задачам фиксатора, держателя и шаблона","https://wordstat.yandex.ru/?region=1&view=table&words=3д%20печать%20оснастки",""
"OSN-003","Оснастка","изготовление технологической оснастки","Wordstat seed","Москва и область","Широкая; все устройства","36","03.08.2026-01.09.2026","Коммерческое","B2B","/osnastka-i-konduktory","Резерв","SERP в основном про металл и крупное производство","https://wordstat.yandex.ru/?region=1&view=table&words=изготовление%20технологической%20оснастки","Не усиливать без ограничения пластиковой задачей"
"OSN-004","Кондукторы","изготовление кондукторов","Wordstat seed","Москва и область","Широкая; все устройства","180","03.08.2026-01.09.2026","Смешанное","Смешанный","/osnastka-i-konduktory","Резерв","Большинство вложенных запросов относится к мебельным приспособлениям","https://wordstat.yandex.ru/?region=1&view=table&words=изготовление%20кондукторов","Широкое число нельзя переносить на предложение мастерской"
"OSN-005","Кондукторы","изготовление кондукторов для сварки","Wordstat вложенная фраза","Москва и область","Широкая; все устройства","2","03.08.2026-01.09.2026","Коммерческое","B2B","","Исключить предварительно","Вероятно металлическая и потенциально ответственная оснастка","https://wordstat.yandex.ru/?region=1&view=table&words=изготовление%20кондукторов","Требует отдельной технической квалификации"
"OSN-006","Кондукторы","3д печать кондукторов","Wordstat seed","Москва и область","Широкая; все устройства","0","03.08.2026-03.09.2026","Смешанное","B2B","/osnastka-i-konduktory","Сохранить ноль","Подтверждённый ноль; проверить формулировки по операциям","https://wordstat.yandex.ru/?region=1&view=table&words=3д%20печать%20кондукторов",""
